timestamp,scope,marketId,activeDebtLoanCount,distinctActiveDebtObservedKeyCount
2026-07-17T16:19:39.734Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,12,12
2026-07-17T16:19:39.734Z,market,USDM,44,36
2026-07-17T16:19:39.734Z,market,USDT,19,13
2026-07-17T16:19:39.734Z,protocol,,557,413
2026-07-17T18:06:26.398Z,market,Ada,81,58
2026-07-17T18:06:26.398Z,market,BTC,13,10
2026-07-17T18:06:26.398Z,market,DAI,1,1
2026-07-17T18:06:26.398Z,market,DJED,87,77
2026-07-17T18:06:26.398Z,market,ERG,4,4
2026-07-17T18:06:26.398Z,market,ETH,7,7
2026-07-17T18:06:26.398Z,market,IAG,6,6
2026-07-17T18:06:26.398Z,market,IUSD,48,43
2026-07-17T18:06:26.398Z,market,MIN,38,34
2026-07-17T18:06:26.398Z,market,NIGHT,11,10
2026-07-17T18:06:26.398Z,market,SHEN,9,8
2026-07-17T18:06:26.398Z,market,SNEK,11,11
2026-07-17T18:06:26.398Z,market,USDA,57,44
2026-07-17T18:06:26.398Z,market,USDC,17,16
2026-07-17T18:06:26.398Z,market,USDCx,91,72
2026-07-17T18:06:26.398Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,12,12
2026-07-17T18:06:26.398Z,market,USDM,44,36
2026-07-17T18:06:26.398Z,market,USDT,19,13
2026-07-17T18:06:26.398Z,protocol,,556,412
2026-07-18T08:46:41.233Z,market,Ada,82,59
2026-07-18T08:46:41.233Z,market,BTC,15,12
2026-07-18T08:46:41.233Z,market,COPI,2,2
2026-07-18T08:46:41.233Z,market,DAI,2,2
2026-07-18T08:46:41.233Z,market,DJED,90,80
2026-07-18T08:46:41.233Z,market,ERG,4,4
2026-07-18T08:46:41.233Z,market,ETH,7,7
2026-07-18T08:46:41.233Z,market,IAG,7,7
2026-07-18T08:46:41.233Z,market,IUSD,54,45
2026-07-18T08:46:41.233Z,market,MIN,38,34
2026-07-18T08:46:41.233Z,market,NIGHT,12,11
2026-07-18T08:46:41.233Z,market,SHEN,10,9
2026-07-18T08:46:41.233Z,market,SNEK,12,12
2026-07-18T08:46:41.233Z,market,USDA,57,44
2026-07-18T08:46:41.233Z,market,USDC,24,22
2026-07-18T08:46:41.233Z,market,USDCx,92,73
2026-07-18T08:46:41.233Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,12,12
2026-07-18T08:46:41.233Z,market,USDM,44,36
2026-07-18T08:46:41.233Z,market,USDT,20,14
2026-07-18T08:46:41.233Z,market,WMT,0,0
2026-07-18T08:46:41.233Z,protocol,,584,431
2026-07-18T14:14:57.487Z,market,Ada,82,59
2026-07-18T14:14:57.487Z,market,BTC,15,12
2026-07-18T14:14:57.487Z,market,COPI,2,2
2026-07-18T14:14:57.487Z,market,DAI,2,2
2026-07-18T14:14:57.487Z,market,DJED,90,80
2026-07-18T14:14:57.487Z,market,ERG,4,4
2026-07-18T14:14:57.487Z,market,ETH,7,7
2026-07-18T14:14:57.487Z,market,IAG,7,7
2026-07-18T14:14:57.487Z,market,IUSD,54,45
2026-07-18T14:14:57.487Z,market,MIN,38,34
2026-07-18T14:14:57.487Z,market,NIGHT,12,11
2026-07-18T14:14:57.487Z,market,SHEN,10,9
2026-07-18T14:14:57.487Z,market,SNEK,12,12
2026-07-18T14:14:57.487Z,market,USDA,57,44
2026-07-18T14:14:57.487Z,market,USDC,24,22
2026-07-18T14:14:57.487Z,market,USDCx,93,74
2026-07-18T14:14:57.487Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,15,14
2026-07-18T14:14:57.487Z,market,USDM,44,36
2026-07-18T14:14:57.487Z,market,USDT,20,14
2026-07-18T14:14:57.487Z,market,WMT,0,0
2026-07-18T14:14:57.487Z,protocol,,588,433
2026-07-18T15:55:57.165Z,market,Ada,82,59
2026-07-18T15:55:57.165Z,market,BTC,15,12
2026-07-18T15:55:57.165Z,market,COPI,2,2
2026-07-18T15:55:57.165Z,market,DAI,2,2
2026-07-18T15:55:57.165Z,market,DJED,90,80
2026-07-18T15:55:57.165Z,market,ERG,4,4
2026-07-18T15:55:57.165Z,market,ETH,7,7
2026-07-18T15:55:57.165Z,market,IAG,7,7
2026-07-18T15:55:57.165Z,market,IUSD,54,45
2026-07-18T15:55:57.165Z,market,MIN,38,34
2026-07-18T15:55:57.165Z,market,NIGHT,12,11
2026-07-18T15:55:57.165Z,market,SHEN,10,9
2026-07-18T15:55:57.165Z,market,SNEK,12,12
2026-07-18T15:55:57.165Z,market,USDA,57,44
2026-07-18T15:55:57.165Z,market,USDC,24,22
2026-07-18T15:55:57.165Z,market,USDCx,93,74
2026-07-18T15:55:57.165Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,15,14
2026-07-18T15:55:57.165Z,market,USDM,44,36
2026-07-18T15:55:57.165Z,market,USDT,20,14
2026-07-18T15:55:57.165Z,market,WMT,0,0
2026-07-18T15:55:57.165Z,protocol,,588,433
2026-07-18T17:27:38.183Z,market,Ada,82,59
2026-07-18T17:27:38.183Z,market,BTC,15,12
2026-07-18T17:27:38.183Z,market,COPI,2,2
2026-07-18T17:27:38.183Z,market,DAI,2,2
2026-07-18T17:27:38.183Z,market,DJED,90,80
2026-07-18T17:27:38.183Z,market,ERG,4,4
2026-07-18T17:27:38.183Z,market,ETH,7,7
2026-07-18T17:27:38.183Z,market,IAG,7,7
2026-07-18T17:27:38.183Z,market,IUSD,54,45
2026-07-18T17:27:38.183Z,market,MIN,38,34
2026-07-18T17:27:38.183Z,market,NIGHT,12,11
2026-07-18T17:27:38.183Z,market,SHEN,10,9
2026-07-18T17:27:38.183Z,market,SNEK,12,12
2026-07-18T17:27:38.183Z,market,USDA,57,44
2026-07-18T17:27:38.183Z,market,USDC,24,22
