timestamp,scope,marketId,marketBorrowNative,loanDebtNative,loanAdjustedDebtNative,minInterestFloorNative,marketBorrowInUsd,loanDebtInUsd,loanAdjustedDebtInUsd,minInterestFloorInUsd,adjustedDifferenceInUsd,adjustedCoveragePercent,classification
2026-07-16T18:44:35.371Z,market,BTC,0,0,0,0,0,31078.223779940003,31078.223779940003,0,31078.223779940003,,overcoverage
2026-07-16T18:44:35.371Z,market,DAI,0,0,0,0,0,11.336447,11.336447,0,11.336447,,overcoverage
2026-07-16T18:44:35.371Z,market,DJED,0,0,0,0,0,921342.033462925,921342.033462925,0,921342.033462925,,overcoverage
2026-07-16T18:44:35.371Z,market,ERG,0,0,0,0,0,2239.598142938734,2239.598142938734,0,2239.598142938734,,overcoverage
2026-07-16T18:44:35.371Z,market,ETH,0,0,0,0,0,2903.7458690800004,2903.7458690800004,0,2903.7458690800004,,overcoverage
2026-07-16T18:44:35.371Z,market,IAG,0,0,0,0,0,3964.5007824590907,3964.5007824590907,0,3964.5007824590907,,overcoverage
2026-07-16T18:44:35.371Z,market,IUSD,0,0,0,0,0,115398.69714551535,115398.69714551535,0,115398.69714551535,,overcoverage
2026-07-16T18:44:35.371Z,market,MIN,0,0,0,0,0,16203.787887894336,16203.787887894336,0,16203.787887894336,,overcoverage
2026-07-16T18:44:35.371Z,market,NIGHT,0,0,0,0,0,18860.69557846019,18860.69557846019,0,18860.69557846019,,overcoverage
2026-07-16T18:44:35.371Z,market,SHEN,0,0,0,0,0,2281.0772845314,2281.0772845314,0,2281.0772845314,,overcoverage
2026-07-16T18:44:35.371Z,market,SNEK,0,0,0,0,0,16517.167109430004,16517.167109430004,0,16517.167109430004,,overcoverage
2026-07-16T18:44:35.371Z,market,USDA,0,0,0,0,0,626218.5984750001,626218.5984750001,0,626218.5984750001,,overcoverage
2026-07-16T18:44:35.371Z,market,USDC,0,0,0,0,0,428572.53109676,428572.53109676,0,428572.53109676,,overcoverage
2026-07-16T18:44:35.371Z,market,USDCx,0,0,0,0,0,735500.9250200001,735500.9250200001,0,735500.9250200001,,overcoverage
2026-07-16T18:44:35.371Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,0,0,0,0,0,74619.7307129225,74619.7307129225,0,74619.7307129225,,overcoverage
2026-07-16T18:44:35.371Z,market,USDM,0,0,0,0,0,158200.42112299998,158200.42112299998,0,158200.42112299998,,overcoverage
2026-07-16T18:44:35.371Z,market,USDT,0,0,0,0,0,353134.9296603599,353134.9296603599,0,353134.9296603599,,overcoverage
2026-07-16T18:44:35.371Z,protocol,,0,0,0,0,0,4085454.831846436,4085454.831846436,0,4085454.831846436,,overcoverage
2026-07-17T14:40:49.241Z,market,Ada,0,0,0,0,0,571986.2647569827,571986.2647569827,0,571986.2647569827,,overcoverage
2026-07-17T14:40:49.241Z,market,BTC,0,0,0,0,0,30637.824297149997,30637.824297149997,0,30637.824297149997,,overcoverage
2026-07-17T14:40:49.241Z,market,DAI,0,0,0,0,0,11.337807,11.337807,0,11.337807,,overcoverage
2026-07-17T14:40:49.241Z,market,DJED,0,0,0,0,0,925345.8484325649,925345.8484325649,0,925345.8484325649,,overcoverage
2026-07-17T14:40:49.241Z,market,ERG,0,0,0,0,0,2215.1068061283777,2215.1068061283777,0,2215.1068061283777,,overcoverage
2026-07-17T14:40:49.241Z,market,ETH,0,0,0,0,0,2837.3478316560004,2837.3478316560004,0,2837.3478316560004,,overcoverage
2026-07-17T14:40:49.241Z,market,IAG,0,0,0,0,0,4161.852783218699,4161.852783218699,0,4161.852783218699,,overcoverage
2026-07-17T14:40:49.241Z,market,IUSD,0,0,0,0,0,116593.37263298428,116593.37263298428,0,116593.37263298428,,overcoverage
2026-07-17T14:40:49.241Z,market,MIN,0,0,0,0,0,17224.859533861094,17224.859533861094,0,17224.859533861094,,overcoverage
2026-07-17T14:40:49.241Z,market,NIGHT,0,0,0,0,0,17724.037745775237,17724.037745775237,0,17724.037745775237,,overcoverage
2026-07-17T14:40:49.241Z,market,SHEN,0,0,0,0,0,2233.93701306704,2233.93701306704,0,2233.93701306704,,overcoverage
2026-07-17T14:40:49.241Z,market,SNEK,0,0,0,0,0,15966.387994710001,15966.387994710001,0,15966.387994710001,,overcoverage
2026-07-17T14:40:49.241Z,market,USDA,0,0,0,0,0,626665.0104329998,626665.0104329998,0,626665.0104329998,,overcoverage
2026-07-17T14:40:49.241Z,market,USDC,0,0,0,0,0,428773.52885897,428773.52885897,0,428773.52885897,,overcoverage
2026-07-17T14:40:49.241Z,market,USDCx,0,0,0,0,0,734205.1226020003,734205.1226020003,0,734205.1226020003,,overcoverage
2026-07-17T14:40:49.241Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,0,0,0,0,0,76584.8372029895,76584.8372029895,0,76584.8372029895,,overcoverage
2026-07-17T14:40:49.241Z,market,USDM,0,0,0,0,0,158281.544565,158281.544565,0,158281.544565,,overcoverage
2026-07-17T14:40:49.241Z,market,USDT,0,0,0,0,0,353294.2045147801,353294.2045147801,0,353294.2045147801,,overcoverage
2026-07-17T14:40:49.241Z,protocol,,0,0,0,0,0,4084742.425811838,4084742.425811838,0,4084742.425811838,,overcoverage
2026-07-17T16:11:28.090Z,market,Ada,0,0,0,0,0,586656.3215104153,586656.3215104153,0,586656.3215104153,,overcoverage
2026-07-17T16:11:28.090Z,market,BTC,0,0,0,0,0,30756.7392244,30756.7392244,0,30756.7392244,,overcoverage
2026-07-17T16:11:28.090Z,market,DAI,0,0,0,0,0,11.337807,11.337807,0,11.337807,,overcoverage
2026-07-17T16:11:28.090Z,market,DJED,0,0,0,0,0,924503.7232646177,924503.7232646177,0,924503.7232646177,,overcoverage
2026-07-17T16:11:28.090Z,market,ERG,0,0,0,0,0,2222.528450925852,2222.528450925852,0,2222.528450925852,,overcoverage
2026-07-17T16:11:28.090Z,market,ETH,0,0,0,0,0,2842.011453996,2842.011453996,0,2842.011453996,,overcoverage
2026-07-17T16:11:28.090Z,market,IAG,0,0,0,0,0,4292.9656703716,4292.9656703716,0,4292.9656703716,,overcoverage
2026-07-17T16:11:28.090Z,market,IUSD,0,0,0,0,0,116894.961634,116894.961634,0,116894.961634,,overcoverage
2026-07-17T16:11:28.090Z,market,MIN,0,0,0,0,0,17497.764163854656,17497.764163854656,0,17497.764163854656,,overcoverage
2026-07-17T16:11:28.090Z,market,NIGHT,0,0,0,0,0,17811.861831282964,17811.861831282964,0,17811.861831282964,,overcoverage
2026-07-17T16:11:28.090Z,market,SHEN,0,0,0,0,0,2291.25740211478,2291.25740211478,0,2291.25740211478,,overcoverage
2026-07-17T16:11:28.090Z,market,SNEK,0,0,0,0,0,16306.560599249999,16306.560599249999,0,16306.560599249999,,overcoverage
2026-07-17T16:11:28.090Z,market,USDA,0,0,0,0,0,626665.0104329998,626665.0104329998,0,626665.0104329998,,overcoverage
2026-07-17T16:11:28.090Z,market,USDC,0,0,0,0,0,428773.52885897,428773.52885897,0,428773.52885897,,overcoverage
2026-07-17T16:11:28.090Z,market,USDCx,0,0,0,0,0,734205.1226020003,734205.1226020003,0,734205.1226020003,,overcoverage
2026-07-17T16:11:28.090Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,0,0,0,0,0,78042.9344262995,78042.9344262995,0,78042.9344262995,,overcoverage
2026-07-17T16:11:28.090Z,market,USDM,0,0,0,0,0,158281.544565,158281.544565,0,158281.544565,,overcoverage
2026-07-17T16:11:28.090Z,market,USDT,0,0,0,0,0,353336.69414888,353336.69414888,0,353336.69414888,,overcoverage
2026-07-17T16:11:28.090Z,protocol,,0,0,0,0,0,4101392.8680463783,4101392.8680463783,0,4101392.8680463783,,overcoverage
2026-07-17T16:19:39.734Z,market,Ada,0,0,0,0,0,586656.3215104153,586656.3215104153,0,586656.3215104153,,overcoverage
2026-07-17T16:19:39.734Z,market,BTC,0,0,0,0,0,30756.7392244,30756.7392244,0,30756.7392244,,overcoverage
2026-07-17T16:19:39.734Z,market,DAI,0,0,0,0,0,11.337807,11.337807,0,11.337807,,overcoverage
2026-07-17T16:19:39.734Z,market,DJED,0,0,0,0,0,924503.7232646177,924503.7232646177,0,924503.7232646177,,overcoverage
2026-07-17T16:19:39.734Z,market,ERG,0,0,0,0,0,2222.528450925852,2222.528450925852,0,2222.528450925852,,overcoverage
2026-07-17T16:19:39.734Z,market,ETH,0,0,0,0,0,2842.011453996,2842.011453996,0,2842.011453996,,overcoverage
2026-07-17T16:19:39.734Z,market,IAG,0,0,0,0,0,4292.9656703716,4292.9656703716,0,4292.9656703716,,overcoverage
