timestamp,scope,marketId,activeDebtLoanCount,activeDebtInUsd,hf_le_100LoanCount,hf_le_100DebtInUsd,hf_100_110LoanCount,hf_100_110DebtInUsd,hf_110_125LoanCount,hf_110_125DebtInUsd,hf_125_150LoanCount,hf_125_150DebtInUsd,hf_150_200LoanCount,hf_150_200DebtInUsd,hf_gt_200LoanCount,hf_gt_200DebtInUsd,badDebtLoanCount,badDebtInUsd,badDebtShortfallInUsd
2026-07-16T18:02:47.025Z,market,SNEK,11,16527.76420763,0,0,0,0,0,0,0,0,0,0,11,16527.76420763,0,0,0
2026-07-16T18:02:47.025Z,market,USDA,57,626218.5984750001,0,0,0,0,24,168312.6471710001,19,410228.082993,3,32165.567285999998,11,15512.301024999999,0,0,0
2026-07-16T18:02:47.025Z,market,USDC,17,428572.53109676,0,0,2,4075.24456955,5,5140.73850089,6,405387.20679504,3,13967.866045249999,1,1.47518603,1,34.08967394,0.2852005602737151
2026-07-16T18:02:47.025Z,market,USDCx,91,735500.92502,0,0,1,55983.360301,13,142878.79710399997,16,146965.77505999999,27,207777.70001200004,34,181895.29254300002,0,0,0
2026-07-16T18:02:47.025Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,11,74619.7307129225,0,0,0,0,4,57392.4377765865,3,3319.538148157,1,1505.0744126355,3,12402.6803755435,0,0,0
2026-07-16T18:02:47.025Z,market,USDM,44,158200.42112299998,0,0,3,15180.875630999999,8,392.292938,7,106418.253046,12,30940.904105999998,14,5268.095402,0,0,0
2026-07-16T18:02:47.025Z,market,USDT,19,353092.47276216996,0,0,0,0,9,36218.59251642,3,1930.71431868,5,314436.18406543,2,506.98186164000003,0,0,0
2026-07-16T18:02:47.025Z,protocol,,554,4093194.9174899925,0,0,18,145624.43408383007,137,564963.5345427576,108,1771184.1299158295,97,1219768.0914777308,194,391654.7274698461,1,34.08967394,0.2852005602737151
2026-07-16T18:44:35.371Z,market,Ada,81,578406.8322682196,0,0,4,202.56310645158,10,631.11420384596,18,6669.601066181362,17,548150.8256249814,32,22752.728266758975,0,0,0
2026-07-16T18:44:35.371Z,market,BTC,13,31078.223779940003,0,0,0,0,1,162.21349016,5,17670.38784914,5,7667.40618674,2,5578.2162539,0,0,0
2026-07-16T18:44:35.371Z,market,DAI,1,11.336447,0,0,0,0,1,11.336447,0,0,0,0,0,0,0,0,0
2026-07-16T18:44:35.371Z,market,DJED,87,921342.033462925,0,0,4,68823.35115560499,41,142647.357983375,10,582607.673040395,10,49654.25717240501,22,77609.394111145,0,0,0
2026-07-16T18:44:35.371Z,market,ERG,4,2239.598142938734,0,0,0,0,0,0,0,0,2,2219.439295110059,2,20.15884782867522,0,0,0
