timestamp,txHash,baseRate,utilMultiplier,utilMultiplierJump,kink,supplyCap,borrowCap,incomeRatioSum,incomeRatioSuppliers,incomeRatioDividends,incomeRatioTreasury,baseBorrowerAPR,baseSupplierAPY,optimalBorrowerAPR,optimalSupplierAPY,maxBorrowerAPR,maxSupplierAPY
2024-07-04T15:19:40.000Z,c38ae417950539d2244efa8491b5bca18157cdaf865519d7b2a21609500ea331,0,0,0,1,2100000,0,10,8,1,1,0,0,0,0,0,0
2024-07-08T15:07:51.000Z,ce7623248c80ebc6f3e1de18617d0ae64fa69adaa22e2c98054ee0e90607d9a3,0,0,0,1,400000,0,10,8,1,1,0,0,0,0,0,0
2024-07-09T12:14:42.000Z,1e97b3769f62e0482b9f146f868f0dba02cb653df323a0b153d4c58810429901,0,0,0,1,400000,0,10,8,1,1,0,0,0,0,0,0
2024-07-15T14:59:45.000Z,7b605b06b3dcc41f064d4b1c1e6de5b55c164615fb2c3a14183ecfa0d7b967bc,0,0,0,1,400000,0,10,8,1,1,0,0,0,0,0,0
2024-08-20T14:21:00.000Z,4dd7589e2059911e685120bf28f4f19f66d048ce932df67783a33ec2fa8bb597,0,0,0,1,2552000,0,10,8,1,1,0,0,0,0,0,0
2025-04-09T13:04:24.000Z,afd4be7f5954ba19548b742558dcc1e06420ca92d024d828be8846601b911571,0,0,0,1,2552000,0,10,8,1,1,0,0,0,0,0,0
2025-05-09T13:22:37.000Z,9bcb49dee8d94d6303f7d1530710c677240f5a02a141c42aeab84a7a5ee7f258,0,0,0,1,2552000,0,10,8,1,1,0,0,0,0,0,0
2025-08-26T13:02:48.000Z,2d971021317a8a2c6e4d67b9641f6877a2c5ef4ba7a1a029d3a77eb28c50b44a,0,0,0,1,2552000,0,10,8,1,1,0,0,0,0,0,0
2025-10-11T12:57:33.000Z,2598e0a075055486207506b6211a972ae4c45c7e8c901a0dfda8e71cb8689a02,0,0,0,1,2552000,0,10,8,1,1,0,0,0,0,0,0
2026-02-03T15:33:38.000Z,ddbbe80ccbcc6daa58a8f9fbec29659412b71a0ca81f03d23ab081d857b3ae4b,0,0,0,1,2222000,0,10,8,1,1,0,0,0,0,0,0
2026-02-06T18:32:43.000Z,f6e0b96015d5330966da365aceb826626f00ae7c43bdcb4b5b3a314b5caea111,0,0,0,1,2244197.252519,0,10,8,1,1,0,0,0,0,0,0
2026-03-14T10:12:47.000Z,c9a22f32c880308736128e418291dfad3c7dc5f887dad05eebc2b7d8a121de01,0,0,0,1,1720860.18149,0,10,8,1,1,0,0,0,0,0,0
2026-03-17T21:39:40.000Z,9a7475e7a2fc9ad1e1096d98886e66001cf920e2fe27fe9b39d5f42f0313c69f,0,0,0,1,1659547,0,10,8,1,1,0,0,0,0,0,0
2026-06-09T14:21:17.000Z,050408f5402a040aacabc8fce0831cb285014e96dfba6fedc629516e34c653d9,0,0,0,1,1659547,0,10,8,1,1,0,0,0,0,0,0
