timestamp,txHash,baseRate,utilMultiplier,utilMultiplierJump,kink,supplyCap,borrowCap,incomeRatioSum,incomeRatioSuppliers,incomeRatioDividends,incomeRatioTreasury,baseBorrowerAPR,baseSupplierAPY,optimalBorrowerAPR,optimalSupplierAPY,maxBorrowerAPR,maxSupplierAPY
2024-06-19T20:08:15.000Z,e2c9ef053197c5ef5da6a017cb2cbb7233c6ded13999998a5d37df1f88b25d8f,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2024-06-26T16:01:48.000Z,2d79cf98d7069737cb602ad16ea0e9ec4fb55890531c652779679b62e64e8a08,0,0,0,0,1913265,0,1,1,0,0,0,0,0,0,0,0
2024-06-27T15:40:52.000Z,4c9fdd6cf59787f5e681d35a49383d20c04ac7389caa3aaee04b7b29540d8f53,0,0,0,0,11843386.556921,0,1,1,0,0,0,0,0,0,0,0
2024-07-09T12:14:42.000Z,1e97b3769f62e0482b9f146f868f0dba02cb653df323a0b153d4c58810429901,0,0,0,0,11843386.556921,0,1,1,0,0,0,0,0,0,0,0
2024-10-09T16:58:49.000Z,9436a38dc2644901b19023093f5a963ac34a7750be532e912c3d4ff17aa38916,0,0,0,0,12582945.220839,0,1,1,0,0,0,0,0,0,0,0
2025-05-09T13:22:37.000Z,9bcb49dee8d94d6303f7d1530710c677240f5a02a141c42aeab84a7a5ee7f258,0,0,0,0,12582945.220839,0,1,1,0,0,0,0,0,0,0,0
2025-08-26T13:02:48.000Z,2d971021317a8a2c6e4d67b9641f6877a2c5ef4ba7a1a029d3a77eb28c50b44a,0,0,0,0,12582945.220839,0,1,1,0,0,0,0,0,0,0,0
2025-10-11T12:57:33.000Z,2598e0a075055486207506b6211a972ae4c45c7e8c901a0dfda8e71cb8689a02,0,0,0,0,12582945.220839,0,1,1,0,0,0,0,0,0,0,0
